Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
this;simulatedannealing.cpp;0;6.283173084259033;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;3.8239800930023193;0-12.5;Random bit-flip
this;solution.cpp;0;2.2150654792785645;0-12.5;Random bit-flip
__it;/usr/include/c++/5/bits/stl_algobase.h;293;1.2433617115020752;0-12.5;Random bit-flip
neigh;solution.cpp;65;5.044634819030762;0-12.5;Random bit-flip
__simple;/usr/include/c++/5/bits/stl_algobase.h;841;3.374404191970825;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;2.252870798110962;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;1.8997230529785156;0-12.5;Random bit-flip
neigh;solution.cpp;65;3.7849996089935303;0-12.5;Random bit-flip
this;solution.cpp;0;5.662498950958252;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;436;0.8725175857543945;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;1958;2.0154802799224854;0-12.5;Random bit-flip
this;solution.cpp;0;12.093112230300903;0-12.5;Random bit-flip
this;solution.cpp;0;5.17637825012207;0-12.5;Random bit-flip
this;simulatedannealing.cpp;0;2.5389132499694824;0-12.5;Random bit-flip
this;solution.cpp;0;7.045307397842407;0-12.5;Random bit-flip
this;solution.cpp;0;3.564493179321289;0-12.5;Random bit-flip
neigh;solution.cpp;65;4.7047789096832275;0-12.5;Random bit-flip
__tmp;/usr/include/c++/5/bits/vector.tcc;194;1.4931035041809082;0-12.5;Random bit-flip
this;solution.cpp;0;4.886720895767212;0-12.5;Random bit-flip
this;solution.cpp;0;4.48836350440979;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;4689;1.738438606262207;0-12.5;Random bit-flip
timeAfter;salbp1-sa.cpp;30;2.7870092391967773;0-12.5;Random bit-flip
__result;/usr/include/c++/5/bits/stl_algobase.h;391;2.0922865867614746;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;1875;2.2562530040740967;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;1875;1.7422518730163574;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;436;8.870480298995972;0-12.5;Random bit-flip
this;solution.cpp;0;3.068166732788086;0-12.5;Random bit-flip
this;solution.cpp;0;5.265817642211914;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;1875;1.6783607006072998;0-12.5;Random bit-flip
loop;simulatedannealing.cpp;38;1.7386784553527832;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;1958;1.5636749267578125;0-12.5;Random bit-flip
this;instance.cpp;0;1.6219031810760498;0-12.5;Random bit-flip
this;solution.cpp;0;5.419812917709351;0-12.5;Random bit-flip
neigh;solution.cpp;65;7.665746450424194;0-12.5;Random bit-flip
loop;simulatedannealing.cpp;38;8.640724182128906;0-12.5;Random bit-flip
this;solution.cpp;0;1.867992877960205;0-12.5;Random bit-flip
__first1;/usr/include/c++/5/bits/stl_algobase.h;827;10.097676038742065;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;4.902688264846802;0-12.5;Random bit-flip
sa;salbp1-sa.cpp;21;3.791307210922241;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;3.291767120361328;0-12.5;Random bit-flip
__x;/usr/include/c++/5/bits/vector.tcc;168;1.1205668449401855;0-12.5;Random bit-flip
this;solution.cpp;0;4.88470458984375;0-12.5;Random bit-flip
neigh;solution.cpp;65;7.645094633102417;0-12.5;Random bit-flip
this;solution.cpp;0;4.4312660694122314;0-12.5;Random bit-flip
this;solution.cpp;0;5.373753786087036;0-12.5;Random bit-flip
this;solution.cpp;0;5.2582316398620605;0-12.5;Random bit-flip
neigh;solution.cpp;65;2.175287961959839;0-12.5;Random bit-flip
__x;/usr/include/c++/5/bits/stl_vector.h;1511;7.476896286010742;0-12.5;Random bit-flip
this;instance.cpp;0;9.480645418167114;0-12.5;Random bit-flip
neigh;solution.cpp;65;2.753030300140381;0-12.5;Random bit-flip
