Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
instance1;salbp1-sa.cpp;21;1.871574878692627;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;5.054755926132202;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.6573874950408936;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;3.030348300933838;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;3.7192206382751465;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;3.4483797550201416;0-11;Random bit-flip
this;simulatedannealing.cpp;0;6.792134761810303;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.0985050201416016;0-11;Random bit-flip
this;solution.cpp;0;3.0323100090026855;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;5.64186429977417;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.7330164909362793;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.4696965217590332;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.472927093505859;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;7.63334584236145;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.986740350723267;0-11;Random bit-flip
timeBefore;salbp1-sa.cpp;18;2.982855796813965;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.1190719604492188;0-11;Random bit-flip
this;instance.cpp;0;2.545011520385742;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.3735387325286865;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.352653741836548;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;4.936682939529419;0-11;Random bit-flip
this;simulatedannealing.cpp;0;8.773885488510132;0-11;Random bit-flip
this;simulatedannealing.cpp;0;7.316502809524536;0-11;Random bit-flip
count;solution.cpp;35;6.438636779785156;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;7.418653726577759;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;5.576543807983398;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;7.534803152084351;0-11;Random bit-flip
instance;solution.cpp;11;1.7080645561218262;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;10.205446243286133;0-11;Random bit-flip
this;simulatedannealing.cpp;0;7.5542097091674805;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;3.9703571796417236;0-11;Random bit-flip
instance;solution.cpp;11;3.6017906665802;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;3.139728546142578;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.002069711685181;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.1251943111419678;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.31406569480896;0-11;Random bit-flip
this;simulatedannealing.cpp;0;7.5431764125823975;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.7135391235351562;0-11;Random bit-flip
instance;solution.cpp;11;5.851609945297241;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.6545321941375732;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.9374959468841553;0-11;Random bit-flip
instance;solution.cpp;11;4.384179353713989;0-11;Random bit-flip
this;solution.cpp;0;2.5811803340911865;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;5.461513519287109;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;2.7473959922790527;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;6.301215410232544;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;1.8598089218139648;0-11;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;1958;6.124093770980835;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.903576374053955;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;3.29160213470459;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.861040115356445;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;2.0250515937805176;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.4016029834747314;0-11;Random bit-flip
neigh;solution.cpp;65;3.031677484512329;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;3.9156060218811035;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;1.662257194519043;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.4908225536346436;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.6491587162017822;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;8.721140146255493;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;1.6118290424346924;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;2.7737321853637695;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;6.2280707359313965;0-11;Random bit-flip
neigh;solution.cpp;65;3.2251389026641846;0-11;Random bit-flip
neigh;solution.cpp;65;5.4414567947387695;0-11;Random bit-flip
neigh;solution.cpp;65;5.06290078163147;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.368108749389648;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;4.937072277069092;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;5.643864393234253;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.8161373138427734;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.152736186981201;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.784306764602661;0-11;Random bit-flip
instance;solution.cpp;11;2.888385057449341;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;2.9132113456726074;0-11;Random bit-flip
newStation;solution.cpp;63;6.3690290451049805;0-11;Random bit-flip
this;simulatedannealing.cpp;0;8.559021234512329;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;1.4730494022369385;0-11;Random bit-flip
