Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
sa2;salbp1-sa.cpp;28;7.608990907669067;0-11;Random bit-flip;0
this;simulatedannealing.cpp;0;1.5690109729766846;0-11;Random bit-flip;1
this;solution.cpp;0;0.9817936420440674;0-11;Random bit-flip;1
neighbour;simulatedannealing.cpp;34;2.1766953468322754;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;5.099668502807617;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;7.093858957290649;0-11;Random bit-flip;1
this;solution.cpp;0;2.3865411281585693;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;1.6403071880340576;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.969184637069702;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;2.078770399093628;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;2.068122386932373;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.8862967491149902;0-11;Random bit-flip;1
timeBefore;salbp1-sa.cpp;18;1.6891818046569824;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;2.5961155891418457;0-11;Random bit-flip;1
neighbour;simulatedannealing.cpp;34;5.423340797424316;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;4.104813814163208;0-11;Random bit-flip;1
this;solution.cpp;0;4.982033729553223;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;9.022668361663818;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;1.2824108600616455;0-11;Random bit-flip;1
neighbour;simulatedannealing.cpp;34;3.321350336074829;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_uninitialized.h;107;7.306546449661255;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;5.890679597854614;0-11;Random bit-flip;1
__last;/usr/include/c++/5/bits/stl_algo.h;1913;8.23875641822815;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;1.0787544250488281;0-11;Random bit-flip;1
neigh;solution.cpp;65;3.831143379211426;0-11;Random bit-flip;1
__depth_limit;/usr/include/c++/5/bits/stl_algo.h;1937;4.640798807144165;0-11;Random bit-flip;1
instance;solution.cpp;11;7.1017889976501465;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;4.141542434692383;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;5.736372947692871;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;7.383855104446411;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.116145610809326;0-11;Random bit-flip;1
this;solution.cpp;0;3.126723289489746;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;8.40337061882019;0-11;Random bit-flip;1
instance;solution.cpp;11;4.878616094589233;0-11;Random bit-flip;1
instance;solution.cpp;11;1.2297155857086182;0-11;Random bit-flip;1
this;solution.cpp;0;4.1830151081085205;0-11;Random bit-flip;1
neigh;solution.cpp;65;4.434505939483643;0-11;Random bit-flip;1
neigh;solution.cpp;65;5.366783857345581;0-11;Random bit-flip;1
this;solution.cpp;0;7.224707841873169;0-11;Random bit-flip;1
this;solution.cpp;0;3.538147211074829;0-11;Random bit-flip;1
this;solution.cpp;0;2.2184836864471436;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.7861475944519043;0-11;Random bit-flip;1
neigh;solution.cpp;65;6.516247510910034;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algo.h;1875;1.944674015045166;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algo.h;4689;2.9580249786376953;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;5.07799220085144;0-11;Random bit-flip;1
instance;solution.cpp;11;5.054424285888672;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;2.6721456050872803;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;3.2284200191497803;0-11;Random bit-flip;1
instance;solution.cpp;11;1.7589130401611328;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.3193914890289307;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.576535701751709;0-11;Random bit-flip;1
this;solution.cpp;0;3.7901365756988525;0-11;Random bit-flip;1
neigh;solution.cpp;65;1.701624870300293;0-11;Random bit-flip;1
this;solution.cpp;0;3.7184605598449707;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.2952122688293457;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.640978574752808;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;9.389467477798462;0-11;Random bit-flip;1
this;solution.cpp;0;2.1084814071655273;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.3219940662384033;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;7.224128484725952;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;5.083713054656982;0-11;Random bit-flip;1
this;solution.cpp;0;3.1046392917633057;0-11;Random bit-flip;1
neigh;solution.cpp;65;0.9687821865081787;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;1.7499730587005615;0-11;Random bit-flip;1
instance;solution.cpp;11;5.696974277496338;0-11;Random bit-flip;1
this;solution.cpp;0;2.920907974243164;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.0214879512786865;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.998680591583252;0-11;Random bit-flip;1
instance1;salbp1-sa.cpp;21;4.857832193374634;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;3.1331443786621094;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;8.6515474319458;0-11;Random bit-flip;1
unsafe_state;random.c;160;3.7653841972351074;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;4.906135559082031;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;7.381864309310913;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algo.h;959;8.920231342315674;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.1612212657928467;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;1.6361002922058105;0-11;Random bit-flip;1
instance;solution.cpp;11;1.5792009830474854;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;2.4752330780029297;0-11;Random bit-flip;1
this;solution.cpp;0;5.574917316436768;0-11;Random bit-flip;1
instance;solution.cpp;11;2.508113145828247;0-11;Random bit-flip;1
instance1;salbp1-sa.cpp;21;2.1091930866241455;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.6156337261199951;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;2.9720969200134277;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.67864990234375;0-11;Random bit-flip;1
neigh;solution.cpp;65;1.4331085681915283;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;4.388291597366333;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algobase.h;462;1.6138741970062256;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;4.857398986816406;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;5.056989908218384;0-11;Random bit-flip;1
instance;solution.cpp;11;2.4320826530456543;0-11;Random bit-flip;1
instance;solution.cpp;11;1.7338178157806396;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.3200461864471436;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_uninitialized.h;279;1.1538774967193604;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.8811450004577637;0-11;Random bit-flip;1
neighbour;simulatedannealing.cpp;34;4.143165111541748;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;5.586858510971069;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;3.953993797302246;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.4364488124847412;0-11;Random bit-flip;1
