Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__it;/usr/include/c++/5/bits/stl_algobase.h;282;8.899500370025635;0-12.5;Random bit-flip
__first1;/usr/include/c++/5/bits/stl_algobase.h;1057;1.1303608417510986;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;436;3.6676125526428223;0-12.5;Random bit-flip
__x;/usr/include/c++/5/bits/vector.tcc;168;2.2644553184509277;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;2.3500962257385254;0-12.5;Random bit-flip
__it;/usr/include/c++/5/bits/stl_algobase.h;282;4.113074064254761;0-12.5;Random bit-flip
__first1;/usr/include/c++/5/bits/stl_algobase.h;1057;5.404626846313477;0-12.5;Random bit-flip
__result;/usr/include/c++/5/bits/stl_uninitialized.h;280;5.052606105804443;0-12.5;Random bit-flip
this;simulatedannealing.cpp;0;4.782771110534668;0-12.5;Random bit-flip
this;solution.cpp;0;4.706266164779663;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;391;1.6298449039459229;0-12.5;Random bit-flip
this;solution.cpp;0;8.627562284469604;0-12.5;Random bit-flip
sa;salbp1-sa.cpp;21;3.7256715297698975;0-12.5;Random bit-flip
__it;/usr/include/c++/5/bits/stl_algobase.h;282;2.5801703929901123;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;4.058272361755371;0-12.5;Random bit-flip
__n;/usr/include/c++/5/bits/stl_algobase.h;338;10.677834272384644;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;436;1.490440845489502;0-12.5;Random bit-flip
newTasks;solution.cpp;61;8.072314262390137;0-12.5;Random bit-flip
__xlen;/usr/include/c++/5/bits/vector.tcc;191;8.178914785385132;0-12.5;Random bit-flip
newStation;solution.cpp;63;3.8527894020080566;0-12.5;Random bit-flip
__xlen;/usr/include/c++/5/bits/vector.tcc;191;2.2221648693084717;0-12.5;Random bit-flip
neigh;solution.cpp;65;3.326692581176758;0-12.5;Random bit-flip
v;solution.cpp;33;5.88144850730896;0-12.5;Random bit-flip
__it;/usr/include/c++/5/bits/stl_algobase.h;282;7.99582052230835;0-12.5;Random bit-flip
this;solution.cpp;0;6.134997844696045;0-12.5;Random bit-flip
tasks;solution.cpp;11;4.93194580078125;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;391;5.387018442153931;0-12.5;Random bit-flip
this;instance.cpp;0;5.740735054016113;0-12.5;Random bit-flip
this;instance.cpp;0;5.363573312759399;0-12.5;Random bit-flip
this;simulatedannealing.cpp;0;1.0316128730773926;0-12.5;Random bit-flip
__xlen;/usr/include/c++/5/bits/vector.tcc;191;2.699732542037964;0-12.5;Random bit-flip
_dl_skip_args;rtld.c;84;0.961022138595581;0-12.5;Random bit-flip
newStation;solution.cpp;63;1.7605581283569336;0-12.5;Random bit-flip
neigh;solution.cpp;65;10.921947479248047;0-12.5;Random bit-flip
argv;salbp1-sa.cpp;17;4.819987058639526;0-12.5;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7131733894348145;0-12.5;Random bit-flip
this;simulatedannealing.cpp;0;4.7582597732543945;0-12.5;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;1936;6.158401012420654;0-12.5;Random bit-flip
this;instance.cpp;0;2.174166679382324;0-12.5;Random bit-flip
i;solution.cpp;50;2.229566812515259;0-12.5;Random bit-flip
this;simulatedannealing.cpp;0;4.608511924743652;0-12.5;Random bit-flip
neigh;solution.cpp;65;5.958853483200073;0-12.5;Random bit-flip
this;instance.cpp;0;3.964700937271118;0-12.5;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;1935;2.6716201305389404;0-12.5;Random bit-flip
i;solution.cpp;50;1.7111592292785645;0-12.5;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;4689;9.437177896499634;0-12.5;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.4825921058654785;0-12.5;Random bit-flip
__xlen;/usr/include/c++/5/bits/vector.tcc;191;2.3516571521759033;0-12.5;Random bit-flip
this;instance.cpp;0;1.4308676719665527;0-12.5;Random bit-flip
__result;/usr/include/c++/5/bits/stl_algobase.h;335;4.490358591079712;0-12.5;Random bit-flip
__pivot;/usr/include/c++/5/bits/stl_algo.h;1893;11.961318254470825;0-12.5;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;1958;1.8819587230682373;0-12.5;Random bit-flip
