Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
instance;salbp1-sa.cpp;19;4.786346197128296;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;1.0352232456207275;0-13;Random bit-flip
__it;/usr/include/c++/5/bits/stl_algobase.h;282;7.8238303661346436;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;436;3.967768669128418;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;4.389923334121704;0-13;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algobase.h;373;11.753219842910767;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;1.7895293235778809;0-13;Random bit-flip
_rtld_local;rtld.c;162;0.7541193962097168;0-13;Random bit-flip
stationTimes;solution.cpp;49;2.065451145172119;0-13;Random bit-flip
__y;/usr/include/c++/5/bits/stl_vector.h;1511;2.233654499053955;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;462;9.729870796203613;0-13;Random bit-flip
this;instance.cpp;0;6.583505630493164;0-13;Random bit-flip
_rtld_local_ro;rtld.c;202;0.7340755462646484;0-13;Random bit-flip
__y;/usr/include/c++/5/bits/stl_vector.h;1511;9.349466800689697;0-13;Random bit-flip
this;instance.cpp;0;4.747997045516968;0-13;Random bit-flip
__last1;/usr/include/c++/5/bits/stl_algobase.h;813;5.238369703292847;0-13;Random bit-flip
this;solution.cpp;0;12.042459964752197;0-13;Random bit-flip
i;solution.cpp;40;10.70681619644165;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;391;11.658458948135376;0-13;Random bit-flip
_rtld_global_ro;rtld.c;168;1.1475625038146973;0-13;Random bit-flip
timeBefore;salbp1-sa.cpp;18;7.0378007888793945;0-13;Random bit-flip
__first1;/usr/include/c++/5/bits/stl_algobase.h;827;3.7136363983154297;0-13;Random bit-flip
__first2;/usr/include/c++/5/bits/stl_algobase.h;837;1.0604197978973389;0-13;Random bit-flip
this;instance.cpp;0;1.5717108249664307;0-13;Random bit-flip
__x;/usr/include/c++/5/bits/vector.tcc;168;2.615797519683838;0-13;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;4689;12.166307210922241;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;436;3.069348096847534;0-13;Random bit-flip
_rtld_local;rtld.c;162;1.415233850479126;0-13;Random bit-flip
__first1;/usr/include/c++/5/bits/stl_algobase.h;1057;2.235041618347168;0-13;Random bit-flip
durationSec;salbp1-sa.cpp;32;2.5534162521362305;0-13;Random bit-flip
i;solution.cpp;40;3.913994789123535;0-13;Random bit-flip
timeBefore;salbp1-sa.cpp;18;6.4274516105651855;0-13;Random bit-flip
newStation;solution.cpp;63;11.155105829238892;0-13;Random bit-flip
this;instance.cpp;0;6.197263240814209;0-13;Random bit-flip
newTasks;solution.cpp;61;5.587468385696411;0-13;Random bit-flip
this;solution.cpp;0;2.8206779956817627;0-13;Random bit-flip
i;solution.cpp;50;10.26195216178894;0-13;Random bit-flip
__first2;/usr/include/c++/5/bits/stl_algobase.h;1057;5.61530065536499;0-13;Random bit-flip
__niter;/usr/include/c++/5/bits/stl_algobase.h;768;2.5799508094787598;0-13;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.214024305343628;0-13;Random bit-flip
this;instance.cpp;0;6.889567136764526;0-13;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1200275421142578;0-13;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algobase.h;335;4.441888809204102;0-13;Random bit-flip
__xlen;/usr/include/c++/5/bits/vector.tcc;191;5.622265100479126;0-13;Random bit-flip
this;solution.cpp;0;9.031489610671997;0-13;Random bit-flip
instance;solution.cpp;11;2.3252627849578857;0-13;Random bit-flip
this;simulatedannealing.cpp;0;1.8116836547851562;0-13;Random bit-flip
this;solution.cpp;0;6.096240282058716;0-13;Random bit-flip
__first1;/usr/include/c++/5/bits/stl_algobase.h;813;1.3865387439727783;0-13;Random bit-flip
this;simulatedannealing.cpp;0;4.136747598648071;0-13;Random bit-flip
__last;/usr/include/c++/5/bits/stl_uninitialized.h;279;4.884332656860352;0-13;Random bit-flip
this;instance.cpp;0;2.568908214569092;0-13;Random bit-flip
__n;/usr/include/c++/5/bits/stl_algobase.h;338;2.054791212081909;0-13;Random bit-flip
neighbour;simulatedannealing.cpp;42;2.4822516441345215;0-13;Random bit-flip
this;simulatedannealing.cpp;0;2.2294836044311523;0-13;Random bit-flip
__i;/usr/include/c++/5/bits/stl_algo.h;1861;10.60488486289978;0-13;Random bit-flip
this;instance.cpp;0;2.5741121768951416;0-13;Random bit-flip
this;instance.cpp;0;5.749272584915161;0-13;Random bit-flip
__xlen;/usr/include/c++/5/bits/vector.tcc;191;2.8506600856781006;0-13;Random bit-flip
tasks;solution.cpp;11;5.8982861042022705;0-13;Random bit-flip
this;solution.cpp;0;6.997551202774048;0-13;Random bit-flip
this;instance.cpp;0;2.141841411590576;0-13;Random bit-flip
this;simulatedannealing.cpp;0;3.211153984069824;0-13;Random bit-flip
