bitflips:;11242
Total SDCs:;99
Detected SDCs:;5
Crashes:;63
Simultaneous SDCs and Crashes:;0

FaultModels Undetected SDCs:
FaultModel ;#SDCs; percentage
Random bit-flip;94;94.94949494949495

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
Random bit-flip;5;5.05050505050505

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Random bit-flip;63;63.63636363636363

Variables that caused Undetected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
3.4693877551020407;980;34;this;solution.cpp;0
6.137184115523466;277;17;neigh;solution.cpp;65
8.333333333333332;60;5;__first;/usr/include/c++/5/bits/stl_algobase.h;436
7.142857142857142;70;5;__first;/usr/include/c++/5/bits/stl_algobase.h;462
0.7984031936127743;501;4;this;simulatedannealing.cpp;0
0.3125;960;3;this;instance.cpp;0
2.054794520547945;146;3;sa;salbp1-sa.cpp;21
25.0;4;1;__tmp;/usr/include/c++/5/bits/vector.tcc;194
12.5;8;1;__last;/usr/include/c++/5/bits/stl_algo.h;1836
100.0;1;1;randtbl;random.c;146
1.0309278350515463;97;1;__simple;/usr/include/c++/5/bits/stl_algobase.h;396
0.20920502092050208;478;1;loop;simulatedannealing.cpp;38
2.0408163265306123;49;1;__first1;/usr/include/c++/5/bits/stl_algobase.h;1057
2.857142857142857;35;1;__for_begin;solution.cpp;0
0.8130081300813009;123;1;instance;salbp1-sa.cpp;19
1.3513513513513513;74;1;__first2;/usr/include/c++/5/bits/stl_algobase.h;837
1.5873015873015872;63;1;__x;/usr/include/c++/5/bits/stl_vector.h;1511
5.0;20;1;__cut;/usr/include/c++/5/bits/stl_algo.h;1947
5.88235294117647;17;1;_Num;/usr/include/c++/5/bits/stl_algobase.h;382
12.5;8;1;__it;/usr/include/c++/5/bits/predefined_ops.h;70
14.285714285714285;7;1;__it;/usr/include/c++/5/bits/stl_algobase.h;293
33.33333333333333;3;1;__first;/usr/include/c++/5/bits/stl_algobase.h;593
1.5873015873015872;63;1;__first1;/usr/include/c++/5/bits/stl_algobase.h;837
1.5625;64;1;__x;/usr/include/c++/5/bits/vector.tcc;168
1.1904761904761905;84;1;__first;/usr/include/c++/5/bits/stl_algo.h;4689
3.7037037037037033;27;1;__mid;/usr/include/c++/5/bits/stl_algo.h;1915
100.0;1;1;__next;/usr/include/c++/5/bits/stl_algo.h;947
100.0;1;1;stationIndex;solution.cpp;19
