Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
cycleTime;salbp1-simulated-annealing.cpp;11;1.2384593486785889;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.310967445373535;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.6826534271240234;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.1011343002319336;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.9872760772705078;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.7244861125946045;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.9592409133911133;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.2849173545837402;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.6585566997528076;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.457129716873169;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5237329006195068;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.3258910179138184;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.668210506439209;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.1997928619384766;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.4149062633514404;0-3;Random bit-flip
verbose;salbp1-simulated-annealing.cpp;24;2.338444709777832;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.4775378704071045;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.8904800415039062;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.3617279529571533;0-3;Random bit-flip
verbose;salbp1-simulated-annealing.cpp;24;0.7773280143737793;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5441062450408936;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.155677080154419;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.9947497844696045;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.1188409328460693;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.2534403800964355;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;0.617769718170166;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.1253232955932617;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.0427803993225098;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.240826368331909;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.1308231353759766;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.4002552032470703;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.511218547821045;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.995248556137085;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.9428784847259521;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.8193800449371338;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.8478436470031738;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.5213463306427;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.543915033340454;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.856499195098877;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.9833486080169678;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.320729970932007;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.9991512298583984;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.2090933322906494;0-3;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;1958;0.9009902477264404;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.0561270713806152;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.2084903717041016;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.7670605182647705;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.483044147491455;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.1368801593780518;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.916041612625122;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.5611000061035156;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;3.0323851108551025;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.7945640087127686;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.2451457977294922;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.0017006397247314;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.3339629173278809;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.9295811653137207;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.187950611114502;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.339351177215576;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.759920597076416;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.7316076755523682;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.2485733032226562;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.3158223628997803;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.7036755084991455;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.7752597332000732;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.602466106414795;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.6198499202728271;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.419248104095459;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.3796908855438232;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.5177795886993408;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.7436587810516357;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.9201159477233887;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.260500192642212;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.1755239963531494;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;2.175091505050659;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.3201103210449219;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5280356407165527;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.8916101455688477;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.1497485637664795;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.167440414428711;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.828460931777954;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.7712852954864502;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.4477946758270264;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.008209466934204;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.6095991134643555;0-3;Random bit-flip
verbose;salbp1-simulated-annealing.cpp;24;0.9448814392089844;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.6839580535888672;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.4370965957641602;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;3.047144651412964;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5794599056243896;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5258018970489502;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.6655666828155518;0-3;Random bit-flip
