Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
cycleTime;salbp1-simulated-annealing.cpp;11;1.4883575439453125;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.8649570941925049;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.8985085487365723;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.3345835208892822;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.7140967845916748;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.8942010402679443;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.5798094272613525;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.6154026985168457;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.8206982612609863;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;2.462937593460083;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.3972437381744385;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.2311811447143555;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.6901941299438477;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.0421125888824463;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.6579499244689941;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.1228272914886475;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.7775418758392334;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.4164540767669678;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.4317030906677246;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.1065714359283447;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.9664943218231201;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.864300012588501;0-3;Random bit-flip
